Symbol,Security,SandP100,FoundedYear,YearOnList,Sector,StateCountry
TXN,Texas Instruments,1,1930,,Information Technology,Texas
TXT,Textron Inc.,0,1923,1978,Industrials,Other
TYL,Tyler Technologies,0,1966,2020,Information Technology,Texas
UA,Under Armour (Class C),0,1996,2016,Consumer Discretionary,Maryland
UAA,Under Armour (Class A),0,1996,2014,Consumer Discretionary,Maryland
UAL,United Airlines Holdings,0,1967,2015,Industrials,Illinois
UDR,"UDR, Inc.",0,1972,2016,Real Estate,Other
UHS,Universal Health Services,0,1979,2014,Health Care,Pennsylvania
ULTA,Ulta Beauty,0,1990,2016,Consumer Discretionary,Illinois
UNH,UnitedHealth Group Inc.,1,1977,1994,Health Care,Minnesota
UNM,Unum Group,0,1999,1994,Financials,Other
UNP,Union Pacific Corp,1,1862,1957,Industrials,Other
UPS,United Parcel Service,1,1907,2002,Industrials,Georgia
URI,"United Rentals, Inc.",0,1997,2014,Industrials,Connecticut
USB,U.S. Bancorp,1,1968,,Financials,Minnesota
V,Visa Inc.,1,1958,2009,Information Technology,California
VAR,Varian Medical Systems,0,1948,2007,Health Care,California
VFC,VF Corporation,0,1899,1979,Consumer Discretionary,North Carolina
VIAC,ViacomCBS,0,2019,,Communication Services,New York
VLO,Valero Energy,0,1980,,Energy,Texas
VMC,Vulcan Materials,0,1909,1999,Materials,Other
VNO,Vornado Realty Trust,0,1982,,Real Estate,New York
VNT,Vontier,0,2019,2020,Information Technology,North Carolina
VRSK,Verisk Analytics,0,1971,2015,Industrials,New Jersey
VRSN,Verisign Inc.,0,1995,2006,Information Technology,Virginia
VRTX,Vertex Pharmaceuticals Inc,0,1989,2013,Health Care,Massachusetts
VTR,Ventas Inc,0,1998,2009,Real Estate,Illinois
VTRS,Viatris,0,1961,2004,Health Care,Pennsylvania
VZ,Verizon Communications,1,1983,1983,Communication Services,New York
WAB,Westinghouse Air Brake Technologies Corp,0,1999,2019,Industrials,Pennsylvania
WAT,Waters Corporation,0,1958,,Health Care,Massachusetts
WBA,Walgreens Boots Alliance,1,2014,1979,Consumer Staples,Illinois
WDC,Western Digital,0,1970,2009,Information Technology,California
WEC,WEC Energy Group,0,1896,2008,Utilities,Other
WELL,Welltower Inc.,0,1970,2009,Real Estate,Ohio
WFC,Wells Fargo,1,1852,1976,Financials,California
WHR,Whirlpool Corp.,0,1911,,Consumer Discretionary,Michigan
WLTW,Willis Towers Watson,0,2016,2016,Financials,International
WM,Waste Management Inc.,0,1968,,Industrials,Texas
WMB,Williams Companies,0,1908,1975,Energy,Other
WMT,Walmart,1,1962,1982,Consumer Staples,Other
WRB,W. R. Berkley Corporation,0,1967,2019,Financials,Connecticut
WRK,WestRock,0,2015,,Materials,Georgia
WST,West Pharmaceutical Services,0,1923,2020,Health Care,Pennsylvania
WU,Western Union Co,0,1851,2006,Information Technology,Other
WY,Weyerhaeuser,0,1900,,Real Estate,Washington
WYNN,Wynn Resorts Ltd,0,2002,2008,Consumer Discretionary,Other
XEL,Xcel Energy Inc,0,1909,1957,Utilities,Minnesota
XLNX,Xilinx,0,1984,1999,Information Technology,California
XOM,Exxon Mobil Corp.,1,1999,1957,Energy,Texas
XRAY,Dentsply Sirona,0,2016,2008,Health Care,North Carolina
XRX,Xerox,0,1906,,Information Technology,Connecticut
XYL,Xylem Inc.,0,2011,2011,Industrials,New York
YUM,Yum! Brands Inc,0,1997,1997,Consumer Discretionary,Other
ZBH,Zimmer Biomet,0,1927,2001,Health Care,Other
ZBRA,Zebra Technologies,0,1969,2019,Information Technology,Illinois
ZION,Zions Bancorp,0,1873,2001,Financials,Other
ZTS,Zoetis,0,1952,2013,Health Care,New Jersey
